"";"ds";"trend";"additive_terms";"additive_terms_lower";"additive_terms_upper";"yearly";"yearly_lower";"yearly_upper";"multiplicative_terms";"multiplicative_terms_lower";"multiplicative_terms_upper";"yhat_lower";"yhat_upper";"trend_lower";"trend_upper";"yhat"
"1";2010-11-06;6294,8943240663;-590,336694347216;-590,336694347216;-590,336694347216;-590,336694347216;-590,336694347216;-590,336694347216;0;0;0;5172,96998723313;6249,76740808478;6294,8943240663;6294,8943240663;5704,55762971908
"2";2010-11-13;6288,67753786585;-481,178653925385;-481,178653925385;-481,178653925385;-481,178653925385;-481,178653925385;-481,178653925385;0;0;0;5243,76404735873;6399,31613753165;6288,67753786585;6288,67753786585;5807,49888394047
"3";2010-11-20;6282,46075166541;-601,414190131393;-601,414190131393;-601,414190131393;-601,414190131393;-601,414190131393;-601,414190131393;0;0;0;5128,9195173696;6244,52535665424;6282,46075166541;6282,46075166541;5681,04656153402
"4";2010-11-27;6276,24396546497;-793,255093282333;-793,255093282333;-793,255093282333;-793,255093282333;-793,255093282333;-793,255093282333;0;0;0;4952,21076905786;6060,52367035831;6276,24396546497;6276,24396546497;5482,98887218263
"5";2010-12-04;6270,02717926452;-784,561862424813;-784,561862424813;-784,561862424813;-784,561862424813;-784,561862424813;-784,561862424813;0;0;0;4887,65938064798;6039,74249742367;6270,02717926452;6270,02717926452;5485,46531683971
"6";2010-12-11;6263,81039306408;-472,409574687736;-472,409574687736;-472,409574687736;-472,409574687736;-472,409574687736;-472,409574687736;0;0;0;5225,99261414942;6345,93794041277;6263,81039306408;6263,81039306408;5791,40081837634
"7";2010-12-18;6257,59360686364;-30,4202523942896;-30,4202523942896;-30,4202523942896;-30,4202523942896;-30,4202523942896;-30,4202523942896;0;0;0;5685,08825462249;6744,9645613123;6257,59360686364;6257,59360686364;6227,17335446935
"8";2010-12-25;6251,37682047613;288,606783201348;288,606783201348;288,606783201348;288,606783201348;288,606783201348;288,606783201348;0;0;0;6033,6619831598;7099,89822230174;6251,37682047613;6251,37682047613;6539,98360367748
"9";2011-01-01;6245,16003408863;428,272769334104;428,272769334104;428,272769334104;428,272769334104;428,272769334104;428,272769334104;0;0;0;6145,28008558261;7212,66684372915;6245,16003408863;6245,16003408863;6673,43280342274
"10";2011-01-08;6238,94324770113;560,85062993636;560,85062993636;560,85062993636;560,85062993636;560,85062993636;560,85062993636;0;0;0;6236,78424299833;7308,54177973893;6238,94324770113;6238,94324770113;6799,79387763749
"11";2011-01-15;6232,72646131363;845,176238528009;845,176238528009;845,176238528009;845,176238528009;845,176238528009;845,176238528009;0;0;0;6496,38760377967;7642,8238584614;6232,72646131363;6232,72646131363;7077,90269984164
"12";2011-01-22;6226,50967492612;1211,23728098663;1211,23728098663;1211,23728098663;1211,23728098663;1211,23728098663;1211,23728098663;0;0;0;6904,40717497172;7952,09192279531;6226,50967492612;6226,50967492612;7437,74695591276
"13";2011-01-29;6220,29288697393;1440,37967503029;1440,37967503029;1440,37967503029;1440,37967503029;1440,37967503029;1440,37967503029;0;0;0;7118,92815598295;8209,44063945983;6220,29288697393;6220,29288697393;7660,67256200422
"14";2011-02-05;6214,07609902174;1445,26970471479;1445,26970471479;1445,26970471479;1445,26970471479;1445,26970471479;1445,26970471479;0;0;0;7103,23802952197;8186,35838708823;6214,07609902174;6214,07609902174;7659,34580373653
"15";2011-02-12;6207,85931106954;1399,23891104406;1399,23891104406;1399,23891104406;1399,23891104406;1399,23891104406;1399,23891104406;0;0;0;7083,21570333793;8215,68377204786;6207,85931106954;6207,85931106954;7607,0982221136
"16";2011-02-19;6201,64252311735;1538,33246283975;1538,33246283975;1538,33246283975;1538,33246283975;1538,33246283975;1538,33246283975;0;0;0;7214,17307653472;8308,21092169665;6201,64252311735;6201,64252311735;7739,97498595709
"17";2011-02-26;6195,42573516516;1859,33273265612;1859,33273265612;1859,33273265612;1859,33273265612;1859,33273265612;1859,33273265612;0;0;0;7501,63366836837;8630,89997913125;6195,42573516516;6195,42573516516;8054,75846782127
"18";2011-03-05;6189,20894720729;2078,51225322567;2078,51225322567;2078,51225322567;2078,51225322567;2078,51225322567;2078,51225322567;0;0;0;7743,8791521032;8806,53768494065;6189,20894720729;6189,20894720729;8267,72120043296
"19";2011-03-12;6182,99215924943;1919,45236539611;1919,45236539611;1919,45236539611;1919,45236539611;1919,45236539611;1919,45236539611;0;0;0;7515,37553074035;8648,11888524791;6182,99215924943;6182,99215924943;8102,44452464554
"20";2011-03-19;6176,77537129157;1412,11044736507;1412,11044736507;1412,11044736507;1412,11044736507;1412,11044736507;1412,11044736507;0;0;0;7024,12486325976;8160,17732990919;6176,77537129157;6176,77537129157;7588,88581865664
"21";2011-03-26;6170,55858333371;867,892153531865;867,892153531865;867,892153531865;867,892153531865;867,892153531865;867,892153531865;0;0;0;6514,78488492227;7587,13241885588;6170,55858333371;6170,55858333371;7038,45073686557
"22";2011-04-02;6164,34179537585;565,445488774469;565,445488774469;565,445488774469;565,445488774469;565,445488774469;565,445488774469;0;0;0;6193,19779480559;7282,9619310779;6164,34179537585;6164,34179537585;6729,78728415032
"23";2011-04-09;6158,12500741799;501,330546957192;501,330546957192;501,330546957192;501,330546957192;501,330546957192;501,330546957192;0;0;0;6157,70650692867;7201,45668244608;6158,12500741799;6158,12500741799;6659,45555437518
"24";2011-04-16;6151,90821918285;463,037039431919;463,037039431919;463,037039431919;463,037039431919;463,037039431919;463,037039431919;0;0;0;6021,840473074;7144,0662996143;6151,90821918285;6151,90821918285;6614,94525861477
"25";2011-04-23;6145,69143094771;303,429776761295;303,429776761295;303,429776761295;303,429776761295;303,429776761295;303,429776761295;0;0;0;5862,90053592891;6983,85421996707;6145,69143094771;6145,69143094771;6449,121207709
"26";2011-04-30;6139,47464271257;88,4921298297493;88,4921298297493;88,4921298297493;88,4921298297493;88,4921298297493;88,4921298297493;0;0;0;5696,80895733136;6797,38677955966;6139,47464271257;6139,47464271257;6227,96677254232
"27";2011-05-07;6133,25785447743;-23,8349255866864;-23,8349255866864;-23,8349255866864;-23,8349255866864;-23,8349255866864;-23,8349255866864;0;0;0;5568,36039202435;6650,98507811697;6133,25785447743;6133,25785447743;6109,42292889075
"28";2011-05-14;6127,04106624229;9,83761830998727;9,83761830998727;9,83761830998727;9,83761830998727;9,83761830998727;9,83761830998727;0;0;0;5569,13929784864;6733,45753843665;6127,04106624229;6127,04106624229;6136,87868455228
"29";2011-05-21;6120,94705853804;82,080190220455;82,080190220455;82,080190220455;82,080190220455;82,080190220455;82,080190220455;0;0;0;5650,36020114974;6703,16413603094;6120,94705853804;6120,94705853804;6203,02724875849
"30";2011-05-28;6114,85305083378;86,1099357522605;86,1099357522605;86,1099357522605;86,1099357522605;86,1099357522605;86,1099357522605;0;0;0;5693,81507899872;6713,45519266263;6114,85305083378;6114,85305083378;6200,96298658604
"31";2011-06-04;6108,75904312952;42,4457988135408;42,4457988135408;42,4457988135408;42,4457988135408;42,4457988135408;42,4457988135408;0;0;0;5610,57125491369;6699,87678099045;6108,75904312952;6108,75904312952;6151,20484194306
"32";2011-06-11;6102,66503542526;43,3529626204654;43,3529626204654;43,3529626204654;43,3529626204654;43,3529626204654;43,3529626204654;0;0;0;5619,19397279587;6698,2415120685;6102,66503542526;6102,66503542526;6146,01799804573
"33";2011-06-18;6096,57102772101;102,259567107117;102,259567107117;102,259567107117;102,259567107117;102,259567107117;102,259567107117;0;0;0;5637,62534567892;6752,19256869523;6096,57102772101;6096,57102772101;6198,83059482812
"34";2011-06-25;6090,54571306488;110,275428531578;110,275428531578;110,275428531578;110,275428531578;110,275428531578;110,275428531578;0;0;0;5614,44209513585;6769,8649290043;6090,54571306488;6090,54571306488;6200,82114159645
"35";2011-07-02;6084,52039840874;-44,5935773155956;-44,5935773155956;-44,5935773155956;-44,5935773155956;-44,5935773155956;-44,5935773155956;0;0;0;5489,21623175593;6596,64420101657;6084,52039840874;6084,52039840874;6039,92682109315
"36";2011-07-09;6078,49508375261;-345,834809262258;-345,834809262258;-345,834809262258;-345,834809262258;-345,834809262258;-345,834809262258;0;0;0;5214,55998891839;6259,49415799554;6078,49508375261;6078,49508375261;5732,66027449035
"37";2011-07-16;6072,46976909648;-661,392598746204;-661,392598746204;-661,392598746204;-661,392598746204;-661,392598746204;-661,392598746204;0;0;0;4874,52030391275;5974,72339136295;6072,46976909648;6072,46976909648;5411,07717035028
"38";2011-07-23;6066,44445444035;-874,887849090649;-874,887849090649;-874,887849090649;-874,887849090649;-874,887849090649;-874,887849090649;0;0;0;4642,22120847348;5728,14834436885;6066,44445444035;6066,44445444035;5191,5566053497
"39";2011-07-30;6060,44469284449;-976,793535714984;-976,793535714984;-976,793535714984;-976,793535714984;-976,793535714984;-976,793535714984;0;0;0;4575,73319801256;5601,38733822854;6060,44469284449;6060,44469284449;5083,6511571295
"40";2011-08-06;6054,44493124863;-1028,90281271449;-1028,90281271449;-1028,90281271449;-1028,90281271449;-1028,90281271449;-1028,90281271449;0;0;0;4476,69248725868;5574,98314636561;6054,44493124863;6054,44493124863;5025,54211853414
"41";2011-08-13;6048,44516965276;-1075,1204501335;-1075,1204501335;-1075,1204501335;-1075,1204501335;-1075,1204501335;-1075,1204501335;0;0;0;4437,19872393729;5543,87394051253;6048,44516965276;6048,44516965276;4973,32471951926
