"CustomerID";"Age";"MaritalStatus";"Sex";"Education"
"1002";42;"Married";"Male";"High School"
"1003";71;"Married";"Female";"Master"
"1004";26;"Married";"Female";"High School"
"1005";25;"Married";"Male";"High School"
"1006";65;"Married";"Male";"High School"
"1010";48;"Married";"Male";"High School"
"1011";79;"Married";"Female";"High School"
"1013";52;"Married";"Female";"Bachelor"
"1015";45;"Divorced";"Male";"Bachelor"
"1017";97;"Married";"Male";"High School"
"1019";65;"Married";"Male";"Master"
"1020";66;"Divorced";"Male";"High School"
"1021";22;"Married";"Male";"High School"
"1022";72;"Married";"Female";"High School"
"1023";48;"Married";"Female";"High School"
"1024";77;"Married";"Male";"High School"
"1025";36;"Divorced";"Male";"High School"
"1026";26;"Divorced";"Male";"High School"
"1032";71;"Married";"Female";"High School"
"1035";72;"Married";"Male";"High School"
"1038";79;"Married";"Male";"Bachelor"
"1040";61;"Divorced";"Female";"High School"
"1043";64;"Married";"Female";"High School"
"1044";58;"Married";"Male";"High School"
"1051";60;"Divorced";"Female";"High School"
"1052";30;"Married";"Male";"High School"
"1054";64;"Married";"Male";"High School"
"1055";57;"Married";"Female";"High School"
"1056";92;"Married";"Male";"Bachelor"
"1057";45;"Married";"Male";"Bachelor"
"1059";48;"Married";"Female";"Master"
"1060";66;"Divorced";"Male";"Master"
"1061";58;"Married";"Female";"High School"
"1062";47;"Married";"Female";"High School"
"1063";81;"Divorced";"Male";"Bachelor"
"1067";62;"Divorced";"Female";"Bachelor"
"1068";98;"Married";"Female";"High School"
"1069";56;"Married";"Female";"High School"
"1071";61;"Married";"Female";"Bachelor"
"1073";38;"Married";"Male";"Bachelor"
"1074";61;"Married";"Female";"Bachelor"
"1076";32;"Married";"Female";"High School"
"1079";46;"Married";"Female";"High School"
"1081";45;"Married";"Male";"High School"
"1083";102;"Married";"Female";"Bachelor"
"1084";79;"Married";"Male";"Bachelor"
"1086";57;"Married";"Female";"Bachelor"
"1087";48;"Married";"Female";"Master"
"1088";92;"Married";"Male";"High School"
"1089";48;"Married";"Male";"High School"
"1092";31;"Married";"Male";"Bachelor"
"1093";74;"Divorced";"Male";"Bachelor"
"1095";55;"Married";"Male";"High School"
"1097";57;"Married";"Female";"Bachelor"
"1100";20;"Married";"Female";"Bachelor"
"1101";31;"Single";"Male";"High School"
"1104";70;"Divorced";"Female";"High School"
"1105";38;"Married";"Male";"Master"
"1110";71;"Married";"Male";"High School"
"1112";46;"Married";"Male";"High School"
"1113";76;"Divorced";"Male";"High School"
"1115";76;"Divorced";"Male";"High School"
"1118";81;"Married";"Male";"High School"
"1120";45;"Married";"Male";"High School"
"1121";30;"Married";"Male";"Bachelor"
"1122";67;"Single";"Female";"High School"
"1124";46;"Divorced";"Male";"Bachelor"
"1126";39;"Divorced";"Male";"High School"
"1127";67;"Divorced";"Male";"High School"
"1128";65;"Divorced";"Male";"High School"
"1129";86;"Married";"Female";"High School"
"1130";59;"Single";"Female";"High School"
"1131";26;"Divorced";"Male";"High School"
"1132";81;"Married";"Male";"Bachelor"
"1134";64;"Married";"Female";"Master"
"1135";38;"Married";"Male";"High School"
"1137";21;"Divorced";"Male";"High School"
