"TransactionID";"ProductID";"CustomerID";"Date";"OrderTotal"
10001;9255;1054;2018-04-14;49
10002;9253;1047;2018-07-11;171
10003;9260;1081;2017-10-18;48
10004;9253;1088;2018-05-06;59
10005;9251;1007;2018-05-02;94
10006;9252;1056;2017-09-16;66
10007;9253;1082;2018-01-28;180
10008;9254;1072;2018-01-05;114
10009;9250;1013;2018-02-17;126
10010;9250;1015;2018-04-24;91
10011;9250;1023;2018-05-16;162
10012;9250;1046;2018-08-29;200
10013;9256;1047;2018-06-04;71
10014;9258;1016;2018-06-11;145
10015;9254;1004;2018-04-14;83
10016;9257;1003;2018-02-20;85
10017;9260;1070;2018-05-24;161
10018;9256;1053;2018-04-26;59
10019;9253;1050;2017-10-27;169
10020;9255;1075;2017-09-25;151
10021;9251;1051;2018-02-11;83
10022;9253;1050;2018-01-23;55
10023;9250;1061;2018-08-22;47
10024;9250;1031;2017-12-01;186
10025;9251;1078;2018-07-25;166
10026;9255;1049;2017-12-29;97
10027;9250;1056;2017-11-25;70
10028;9253;1081;2018-04-09;104
10029;9252;1074;2018-05-13;171
10030;9253;1018;2018-09-07;118
10031;9259;1071;2018-03-03;79
10032;9260;1051;2018-06-05;105
10033;9260;1065;2017-11-05;56
10034;9254;1089;2018-06-16;49
10035;9257;1044;2018-05-22;173
10036;9260;1078;2018-02-03;150
10037;9256;1075;2018-01-21;139
10038;9253;1053;2018-01-22;58
10039;9258;1029;2018-02-04;180
10040;9255;1006;2018-01-26;189
10041;9257;1064;2018-02-14;64
10042;9260;1073;2018-03-06;70
10043;9260;1033;2018-05-28;135
10044;9252;1047;2017-10-26;153
10045;9250;1054;2018-02-02;152
10046;9258;1031;2017-09-11;185
10047;9257;1067;2018-06-26;84
10048;9250;1017;2018-07-03;90
10049;9251;1036;2017-10-21;136
10050;9250;1042;2018-04-26;116
10051;9260;1082;2018-06-09;136
10052;9253;1052;2017-11-01;147
10053;9260;1052;2018-05-04;169
10054;9254;1012;2018-01-01;61
10055;9255;1020;2018-04-23;137
10056;9257;1087;2017-11-24;78
10057;9255;1090;2018-02-08;93
10058;9257;1040;2017-11-24;60
10059;9259;1039;2017-12-23;187
10060;9260;1082;2018-02-01;167
10061;9252;1032;2017-12-17;191
10062;9253;1014;2017-09-26;88
10063;9256;1077;2018-05-09;158
10064;9254;1085;2017-12-18;152
10065;9259;1030;2018-05-30;106
10066;9257;1048;2017-12-19;110
10067;9259;1006;2018-04-24;52
10068;9253;1039;2018-09-05;86
10069;9253;1061;2018-03-14;70
10070;9257;1031;2018-03-18;119
10071;9257;1082;2017-12-19;115
10072;9253;1073;2018-07-22;197
10073;9251;1017;2018-06-04;181
10074;9260;1059;2017-11-05;94
10075;9252;1020;2018-07-24;166
10076;9252;1026;2017-10-19;134
10077;9257;1002;2018-06-28;143
10078;9258;1060;2017-12-29;76
10079;9253;1033;2017-11-30;189
10080;9255;1007;2018-03-18;109
10081;9260;1057;2018-07-05;176
10082;9254;1033;2018-06-27;52
10083;9250;1086;2018-05-12;132
10084;9259;1048;2017-12-07;135
10085;9251;1058;2018-06-29;138
10086;9251;1015;2018-03-28;57
10087;9252;1028;2017-11-21;89
10088;9251;1073;2018-01-26;91
10089;9257;1060;2017-09-13;185
10090;9253;1034;2018-03-08;95
10091;9250;1048;2018-02-28;107
10092;9260;1067;2018-05-07;98
10093;9257;1058;2018-08-29;186
10094;9258;1047;2017-10-15;134
10095;9258;1017;2017-11-17;126
10096;9258;1004;2018-02-20;192
10097;9257;1066;2018-08-10;156
10098;9250;1007;2018-07-16;163
10099;9259;1073;2017-09-23;53
10100;9254;1035;2018-08-21;165
10101;9258;1015;2018-01-29;107
10102;9260;1039;2018-04-01;56
10103;9253;1032;2018-06-14;192
10104;9251;1009;2017-11-26;135
10105;9260;1037;2017-09-29;194
10106;9256;1027;2018-07-23;117
10107;9254;1016;2018-05-08;63
10108;9250;1074;2017-10-18;116
10109;9256;1087;2018-05-01;148
10110;9258;1018;2018-07-13;59
10111;9253;1044;2018-05-31;192
10112;9251;1074;2018-05-15;99
10113;9252;1049;2018-04-12;118
10114;9251;1007;2018-03-20;182
10115;9250;1006;2017-12-07;180
10116;9260;1037;2018-01-21;70
10117;9258;1038;2018-05-26;185
10118;9253;1018;2018-04-17;135
10119;9251;1083;2018-02-21;74
10120;9254;1002;2018-04-21;120
10121;9253;1054;2018-08-16;90
10122;9255;1074;2018-01-17;77
10123;9253;1047;2018-04-15;140
10124;9256;1090;2018-04-28;45
10125;9250;1024;2018-02-07;168
10126;9252;1077;2018-01-29;68
10127;9259;1086;2017-10-04;117
10128;9254;1082;2017-10-15;141
10129;9259;1006;2018-05-10;68
10130;9251;1025;2018-02-03;194
10131;9254;1037;2018-05-22;147
10132;9257;1017;2018-02-02;161
10133;9258;1008;2017-12-09;114
10134;9257;1058;2017-10-05;164
10135;9260;1059;2018-07-09;172
10136;9251;1081;2018-08-12;140
10137;9256;1014;2017-12-22;56
10138;9260;1049;2017-09-15;104
10139;9251;1050;2018-03-18;163
10140;9258;1042;2018-06-07;84
10141;9255;1090;2018-01-24;134
10142;9251;1048;2018-06-06;149
10143;9258;1026;2018-05-19;191
10144;9256;1007;2018-01-30;111
10145;9256;1011;2018-05-23;118
10146;9250;1018;2018-06-02;144
10147;9254;1078;2018-01-24;146
10148;9250;1005;2018-06-09;62
10149;9254;1034;2018-04-09;49
10150;9254;1086;2018-07-18;77
10151;9250;1044;2018-01-28;155
10152;9250;1021;2018-09-06;150
10153;9250;1011;2018-08-08;200
10154;9251;1012;2017-09-23;68
10155;9260;1027;2018-07-02;101
10156;9252;1082;2018-05-24;139
10157;9257;1006;2018-08-02;98
10158;9257;1010;2018-04-02;155
10159;9253;1090;2018-07-09;195
10160;9252;1088;2018-07-08;73
10161;9260;1079;2018-04-28;184
10162;9260;1065;2018-08-08;128
10163;9259;1070;2017-10-18;186
10164;9260;1077;2018-05-10;196
10165;9260;1075;2018-09-07;100
10166;9260;1046;2018-08-03;195
10167;9255;1002;2018-08-17;69
10168;9259;1066;2018-08-27;172
10169;9257;1025;2018-08-30;143
10170;9252;1083;2018-06-19;192
10171;9256;1058;2018-01-25;110
10172;9260;1027;2018-01-11;200
10173;9257;1054;2018-04-03;140
10174;9253;1062;2017-12-12;97
10175;9255;1057;2017-11-23;125
10176;9253;1083;2018-09-01;185
10177;9260;1045;2017-11-23;93
10178;9250;1089;2017-12-24;189
10179;9252;1016;2018-07-22;67
10180;9255;1062;2017-11-10;54
10181;9252;1042;2018-06-05;190
10182;9256;1013;2017-12-27;146
10183;9260;1072;2018-09-05;132
10184;9251;1083;2018-08-02;158
10185;9259;1029;2017-12-31;132
10186;9250;1067;2018-02-02;133
10187;9260;1010;2018-03-21;50
10188;9257;1014;2017-10-14;109
10189;9258;1040;2018-04-11;125
10190;9260;1031;2018-02-26;191
10191;9250;1056;2017-11-17;110
10192;9254;1015;2018-01-16;70
10193;9254;1014;2017-12-18;60
10194;9252;1075;2018-01-02;183
10195;9256;1075;2018-08-17;86
10196;9259;1033;2018-08-13;111
10197;9252;1068;2018-04-09;183
10198;9254;1023;2018-06-27;189
10199;9255;1067;2018-07-07;109
10200;9256;1062;2017-09-12;68
10201;9258;1084;2018-02-26;178
10202;9258;1057;2017-10-14;183
10203;9256;1036;2018-06-20;54
10204;9254;1007;2018-06-26;52
10205;9257;1039;2018-08-26;160
10206;9260;1088;2018-03-24;123
10207;9252;1034;2018-03-15;84
10208;9260;1059;2018-01-05;60
10209;9259;1012;2018-07-22;63
10210;9253;1005;2018-01-28;142
10211;9255;1066;2017-12-22;45
10212;9259;1021;2018-02-14;49
10213;9255;1083;2018-06-16;152
10214;9251;1019;2018-03-14;56
10215;9255;1063;2017-10-18;134
10216;9259;1079;2017-11-10;87
10217;9252;1008;2017-12-27;87
10218;9258;1041;2017-10-11;133
10219;9257;1050;2018-05-07;169
10220;9257;1018;2017-12-04;117
10221;9251;1047;2018-05-28;153
10222;9250;1022;2017-09-27;106
10223;9256;1009;2017-10-03;87
10224;9253;1037;2018-05-08;199
10225;9250;1066;2017-09-11;162
10226;9251;1043;2018-03-04;97
10227;9253;1012;2018-05-06;178
10228;9258;1046;2017-12-02;125
10229;9257;1029;2018-07-19;58
10230;9251;1027;2018-09-04;136
